thickness_mm
76
54
39
40
49
32
85
22
98
36
125
45
140
55
177
26
225
17
172
20
170
30
160
30
110
32
93
40
60
11
53
22
85
75
65
90
124
21
102
24
120
35
156
20
140
18
152
31
133
29
135
34
129
46
112
50
68
70
40
88
25
108
35
102
42
130
35
180
24
141
30
20
170
22
126
32
145
39
110
31
140
51
82
50
53
70
18
75
70
85
72
84
22
86
25
75
20
102
10
28
100
20
124
18
120
24
85
33
95
38
93
53
60
48
38
95
26
67
28
85
6
22
143
20
158
16
134
41
124
30
128
25
128
32
40
140
60
92
68
62
66
38
55
77
72
64
50
48
58
25
58
20
21
80
20
70
30
100
28
75
36
88
20
88
40
50
48
52
75
35
66
20
81
25
62
22
70
18
82
38
72
10
93
20
75
10
90
25
53
20
20
8
60
28
63
34
50
53
50
63
30
60
10
58
40
28
30
40
