thickness_mm
56.33333333
52.25
51.6
53.57142857
45.85714286
52.14285714
51.71428571
63.85714286
63.28571429
78.71428571
74.42857143
96.57142857
86.28571429
113.2857143
97.85714286
116
98.85714286
115.2857143
94.28571429
113.4285714
85.57142857
98.85714286
78.85714286
89.28571429
70.71428571
75
53.71428571
57
44.42857143
52
49.42857143
53
57.28571429
73.42857143
68.85714286
80.28571429
71.57142857
78
73.71428571
83.14285714
68.28571429
85.28571429
73.28571429
91.57142857
78.85714286
92.85714286
74.71428571
91.14285714
76
91.85714286
76.71428571
88.28571429
76.42857143
82
72.71428571
73.57142857
67.71428571
64.71428571
64.14285714
62
66.85714286
62.85714286
75.71428571
68.14285714
90.28571429
78.28571429
93.42857143
83.14285714
80
85.71428571
83.85714286
76.14285714
77.28571429
77.85714286
79.14285714
92
72.14285714
89
78.28571429
85.42857143
71.85714286
73.85714286
68.14285714
66.28571429
57
59.71428571
60.14285714
63.28571429
67.71428571
60.85714286
70.57142857
63.42857143
64.14285714
54.85714286
59.14285714
48.57142857
49.42857143
51.42857143
50.71428571
57.71428571
57.42857143
60
62
70.14285714
60.57142857
71.28571429
59
69.71428571
60.14285714
65.28571429
60
60.71428571
60.71428571
59
55.28571429
51.71428571
55.28571429
49.28571429
47
53.85714286
53
66
64.28571429
71.28571429
76.28571429
90.85714286
74.71428571
90.14285714
71.14285714
87.14285714
72.57142857
72.42857143
74.71428571
79
73.85714286
80
70.57142857
75.42857143
75.14285714
63
65.42857143
62.57142857
62
60.28571429
57.71428571
60.57142857
56.28571429
53.57142857
46.14285714
40
44.28571429
40.28571429
42
42.71428571
48.71428571
49.85714286
57.57142857
51.28571429
61
53.85714286
62.14285714
53.57142857
56.71428571
52.85714286
55.14285714
53.28571429
55.42857143
52.28571429
49.42857143
53.85714286
50.57142857
52
44.42857143
49.42857143
42.57142857
51.42857143
45.28571429
52
44.57142857
54.71428571
47.57142857
55.71428571
45.42857143
52.85714286
46.14285714
52.28571429
41.85714286
41.85714286
32.28571429
39.42857143
30.57142857
36
33.28571429
37.57142857
42.28571429
48.28571429
48.71428571
49
48.57142857
45.14285714
46.28571429
44.42857143
41.28571429
36.57142857
38
39.2
34.5
32.66666667
